channel_url,video_url
https://www.youtube.com/@JohnfettermanPA,https://www.youtube.com/watch?v=pdsH7T1zGM0
https://www.youtube.com/@JohnfettermanPA,https://www.youtube.com/watch?v=apZ-WB_VWiU
https://www.youtube.com/@JohnfettermanPA,https://www.youtube.com/watch?v=ofS9bPhNph4
https://www.youtube.com/@JohnfettermanPA,https://www.youtube.com/watch?v=r6smkiV6fyY
https://www.youtube.com/@JohnfettermanPA,https://www.youtube.com/watch?v=GQGlezpPMNc
https://www.youtube.com/@JohnfettermanPA,https://www.youtube.com/watch?v=pyga3As9R14
https://www.youtube.com/@JohnfettermanPA,https://www.youtube.com/watch?v=M0HU3XTOcWg
https://www.youtube.com/@JohnfettermanPA,https://www.youtube.com/watch?v=vjvyTwjJP4o
https://www.youtube.com/@JohnfettermanPA,https://www.youtube.com/watch?v=2rOrbO629lk
https://www.youtube.com/@JohnfettermanPA,https://www.youtube.com/watch?v=OGFUzUd1aU4
https://www.youtube.com/@JohnfettermanPA,https://www.youtube.com/watch?v=k0djzL5n5c4
https://www.youtube.com/@JohnfettermanPA,https://www.youtube.com/watch?v=--HT3T2b9q4
https://www.youtube.com/@JohnfettermanPA,https://www.youtube.com/watch?v=9A2xFk2tTMk
https://www.youtube.com/@JohnfettermanPA,https://www.youtube.com/watch?v=aRcGWC8Hsp0
https://www.youtube.com/@JohnfettermanPA,https://www.youtube.com/watch?v=_XgckX16Kx4
https://www.youtube.com/@JohnfettermanPA,https://www.youtube.com/watch?v=1OjCzP-Jqds
https://www.youtube.com/@JohnfettermanPA,https://www.youtube.com/watch?v=Wn91_0MvwJY
https://www.youtube.com/@JohnfettermanPA,https://www.youtube.com/watch?v=6CJgk3cQxy8
https://www.youtube.com/@JohnfettermanPA,https://www.youtube.com/watch?v=XXTehIpZdp0
https://www.youtube.com/@JohnfettermanPA,https://www.youtube.com/watch?v=N4Y_oPL2npg
https://www.youtube.com/@JohnfettermanPA,https://www.youtube.com/watch?v=mOuy13EGuCc
https://www.youtube.com/@JohnfettermanPA,https://www.youtube.com/watch?v=OBAjWd_SbDU
https://www.youtube.com/@JohnfettermanPA,https://www.youtube.com/watch?v=eMf59Ocqhvc
https://www.youtube.com/@JohnfettermanPA,https://www.youtube.com/watch?v=pU2vJv7rfec
https://www.youtube.com/@JohnfettermanPA,https://www.youtube.com/watch?v=n_d7r14a7KU
https://www.youtube.com/@JohnfettermanPA,https://www.youtube.com/watch?v=n9WDIxcopXA
https://www.youtube.com/@JohnfettermanPA,https://www.youtube.com/watch?v=wq2yCehkev8
https://www.youtube.com/@JohnfettermanPA,https://www.youtube.com/watch?v=nm44ADFsAT0
https://www.youtube.com/@JohnfettermanPA,https://www.youtube.com/watch?v=w2TbSdyJpwk
https://www.youtube.com/@JohnfettermanPA,https://www.youtube.com/watch?v=SlWIu2H6RFM
https://www.youtube.com/@JohnfettermanPA,https://www.youtube.com/watch?v=YRD3fDYbttA
https://www.youtube.com/@JohnfettermanPA,https://www.youtube.com/watch?v=B5Kk4mrFiqM
https://www.youtube.com/@JohnfettermanPA,https://www.youtube.com/watch?v=oxnZQsHm52s
https://www.youtube.com/@JohnfettermanPA,https://www.youtube.com/watch?v=Fne9P6rfpq0
https://www.youtube.com/@JohnfettermanPA,https://www.youtube.com/watch?v=KS789YOC5tI
https://www.youtube.com/@JohnfettermanPA,https://www.youtube.com/watch?v=8a_KnuS1zfE
https://www.youtube.com/@JohnfettermanPA,https://www.youtube.com/watch?v=D4OpkCV72jM
https://www.youtube.com/@JohnfettermanPA,https://www.youtube.com/watch?v=G2YdaTURo1I
https://www.youtube.com/@JohnfettermanPA,https://www.youtube.com/watch?v=GenzEUEsp6I
https://www.youtube.com/@JohnfettermanPA,https://www.youtube.com/watch?v=175BbCpPF10
https://www.youtube.com/@JohnfettermanPA,https://www.youtube.com/watch?v=wY2WMPl-ROI
https://www.youtube.com/@JohnfettermanPA,https://www.youtube.com/watch?v=VAoCixNGXjU
https://www.youtube.com/@JohnfettermanPA,https://www.youtube.com/watch?v=QrHcTRKKG5E
https://www.youtube.com/@JohnfettermanPA,https://www.youtube.com/watch?v=nUJWQDPmNhw
https://www.youtube.com/@JohnfettermanPA,https://www.youtube.com/watch?v=dGmCcahRWbk
https://www.youtube.com/@JohnfettermanPA,https://www.youtube.com/watch?v=67KbfGdcE10
https://www.youtube.com/@JohnfettermanPA,https://www.youtube.com/watch?v=QNAm8dauB04
https://www.youtube.com/@JohnfettermanPA,https://www.youtube.com/watch?v=Qc5tuJkAvCA
https://www.youtube.com/@JohnfettermanPA,https://www.youtube.com/watch?v=JIdf4v7DcH4
https://www.youtube.com/@JohnfettermanPA,https://www.youtube.com/watch?v=2wHES8gIC7k
https://www.youtube.com/@JohnfettermanPA,https://www.youtube.com/watch?v=BW2D5aK4CTw
https://www.youtube.com/@JohnfettermanPA,https://www.youtube.com/watch?v=UpL4I2xahxc
https://www.youtube.com/@JohnfettermanPA,https://www.youtube.com/watch?v=8Bl0sMcb8Sg
https://www.youtube.com/@JohnfettermanPA,https://www.youtube.com/watch?v=WJxdFu99R6g
https://www.youtube.com/@JohnfettermanPA,https://www.youtube.com/watch?v=WfwhsdLnnrI
https://www.youtube.com/@JohnfettermanPA,https://www.youtube.com/watch?v=9sxJpAPw1Lk
https://www.youtube.com/@JohnfettermanPA,https://www.youtube.com/watch?v=q7b2SndeY1I
https://www.youtube.com/@JohnfettermanPA,https://www.youtube.com/watch?v=pWoCA_yGX1E
https://www.youtube.com/@JohnfettermanPA,https://www.youtube.com/watch?v=DG-VdIG98ro
https://www.youtube.com/@JohnfettermanPA,https://www.youtube.com/watch?v=6SMkBPW8Cfo
https://www.youtube.com/@JohnfettermanPA,https://www.youtube.com/watch?v=9FBX8S3uHrI
https://www.youtube.com/@JohnfettermanPA,https://www.youtube.com/watch?v=4WQzjrLzIwA
https://www.youtube.com/@JohnfettermanPA,https://www.youtube.com/watch?v=alPy0xc7db8
https://www.youtube.com/@JohnfettermanPA,https://www.youtube.com/watch?v=gqIkzJmsf5Q
https://www.youtube.com/@JohnfettermanPA,https://www.youtube.com/watch?v=jwu-u2a28zU
https://www.youtube.com/@JohnfettermanPA,https://www.youtube.com/watch?v=k4vX2A-9fQk
https://www.youtube.com/@JohnfettermanPA,https://www.youtube.com/watch?v=rJxowuMYE1I
https://www.youtube.com/@JohnfettermanPA,https://www.youtube.com/watch?v=RHxQFqbdFUk
https://www.youtube.com/@JohnfettermanPA,https://www.youtube.com/watch?v=IPNpLWgfU_4
https://www.youtube.com/@JohnfettermanPA,https://www.youtube.com/watch?v=r4B16jXNoA0
https://www.youtube.com/@JohnfettermanPA,https://www.youtube.com/watch?v=Ei-Nida_PIc
https://www.youtube.com/@JohnfettermanPA,https://www.youtube.com/watch?v=Ca6iaYwZGdQ
https://www.youtube.com/@JohnfettermanPA,https://www.youtube.com/watch?v=xjDWmtMcUzQ
https://www.youtube.com/@JohnfettermanPA,https://www.youtube.com/watch?v=1dPmkPxg2h8
https://www.youtube.com/@JohnfettermanPA,https://www.youtube.com/watch?v=BYvLGs6-qPc
https://www.youtube.com/@JohnfettermanPA,https://www.youtube.com/watch?v=ZNcYtENgojo
https://www.youtube.com/@JohnfettermanPA,https://www.youtube.com/watch?v=-_IHV-SjLvY
https://www.youtube.com/@JohnfettermanPA,https://www.youtube.com/watch?v=pWGpS9pS-Fw
https://www.youtube.com/@JohnfettermanPA,https://www.youtube.com/watch?v=_s3QXkdy9B8
https://www.youtube.com/@JohnfettermanPA,https://www.youtube.com/watch?v=5Krqv8O4ENQ
https://www.youtube.com/@JohnfettermanPA,https://www.youtube.com/watch?v=0YXT6wIt-dw
https://www.youtube.com/@JohnfettermanPA,https://www.youtube.com/watch?v=3fYTq-6W5kk
