first_name,last_name,state,party,district
Gallagher,Mike,Wisconsin,REPUBLICAN,8
Gallego,Ruben,Arizona,DEMOCRATIC,3
Garamendi,John,California,DEMOCRATIC,8
Garbarino,Andrew R.,New York,REPUBLICAN,2
Garcia,"Jesus G. ""Chuy""",Illinois,DEMOCRATIC,4
Garcia,Mike,California,REPUBLICAN,27
Garcia,Robert,California,DEMOCRATIC,42
Garcia,Sylvia R.,Texas,DEMOCRATIC,29
Gibbs,Bob,Ohio,REPUBLICAN,7
Gillibrand,Kirsten E.,New York,DEMOCRATIC,
Gimenez,Carlos A.,Florida,REPUBLICAN,28
Gohmert,Louie,Texas,REPUBLICAN,1
Golden,Jared F.,Maine,DEMOCRATIC,2
Goldman,Daniel S.,New York,DEMOCRATIC,10
Gomez,Jimmy,California,DEMOCRATIC,34
Gonzales,Tony,Texas,REPUBLICAN,23
Gonzalez,Anthony,Ohio,REPUBLICAN,16
Gonzalez,Vicente,Texas,DEMOCRATIC,34
González-Colón,Jenniffer,Puerto Rico,REPUBLICAN,At Large
Good,Bob,Virginia,REPUBLICAN,5
Gooden,Lance,Texas,REPUBLICAN,5
Gosar,Paul A.,Arizona,REPUBLICAN,9
Gottheimer,Josh,New Jersey,DEMOCRATIC,5
Graham,Lindsey,South Carolina,REPUBLICAN,
Granger,Kay,Texas,REPUBLICAN,12
Grassley,Chuck,Iowa,REPUBLICAN,
Graves,Garret,Louisiana,REPUBLICAN,6
Graves,Sam,Missouri,REPUBLICAN,6
Green,Al,Texas,DEMOCRATIC,9
Green,Mark E.,Tennessee,REPUBLICAN,7
Greene,Marjorie Taylor,Georgia,REPUBLICAN,14
Griffith,H. Morgan,Virginia,REPUBLICAN,9
Grijalva,Raúl M.,Arizona,DEMOCRATIC,7
Grothman,Glenn,Wisconsin,REPUBLICAN,6
Guest,Michael,Mississippi,REPUBLICAN,3
Guthrie,Brett,Kentucky,REPUBLICAN,2
Haaland,Debra A.,New Mexico,DEMOCRATIC,1
Hagedorn,Jim,Minnesota,REPUBLICAN,1
Hageman,Harriet M.,Wyoming,REPUBLICAN,At Large
Hagerty,Bill,Tennessee,REPUBLICAN,
Harder,Josh,California,DEMOCRATIC,9
Harris,Andy,Maryland,REPUBLICAN,1
Harris,Kamala D.,California,DEMOCRATIC,
Harshbarger,Diana,Tennessee,REPUBLICAN,1
Hartzler,Vicky,Missouri,REPUBLICAN,4
Hassan,Margaret Wood,New Hampshire,DEMOCRATIC,
Hastings,Alcee L.,Florida,DEMOCRATIC,20
Hawley,Josh,Missouri,REPUBLICAN,
Hayes,Jahana,Connecticut,DEMOCRATIC,5
Heinrich,Martin,New Mexico,DEMOCRATIC,
Hern,Kevin,Oklahoma,REPUBLICAN,1
Herrell,Yvette,New Mexico,REPUBLICAN,2
Herrera Beutler,Jaime,Washington,REPUBLICAN,3
Hice,Jody B.,Georgia,REPUBLICAN,10
Hickenlooper,John W.,Colorado,DEMOCRATIC,
Higgins,Brian,New York,DEMOCRATIC,26
Higgins,Clay,Louisiana,REPUBLICAN,3
Hill,J. French,Arkansas,REPUBLICAN,2
Himes,James A.,Connecticut,DEMOCRATIC,4
Hinson,Ashley,Iowa,REPUBLICAN,2
Hirono,Mazie K.,Hawaii,DEMOCRATIC,
Hoeven,John,North Dakota,REPUBLICAN,
Hollingsworth,Trey,Indiana,REPUBLICAN,9
Horsford,Steven,Nevada,DEMOCRATIC,4
Houchin,Erin,Indiana,REPUBLICAN,9
Houlahan,Chrissy,Pennsylvania,DEMOCRATIC,6
Hoyer,Steny H.,Maryland,DEMOCRATIC,5
Hoyle,Val T.,Oregon,DEMOCRATIC,4
Hudson,Richard,North Carolina,REPUBLICAN,9
Huffman,Jared,California,DEMOCRATIC,2
Huizenga,Bill,Michigan,REPUBLICAN,4
Hunt,Wesley,Texas,REPUBLICAN,38
Hyde-Smith,Cindy,Mississippi,REPUBLICAN,
Inhofe,James M.,Oklahoma,REPUBLICAN,
Issa,Darrell E.,California,REPUBLICAN,48
Ivey,Glenn,Maryland,DEMOCRATIC,4
Jackson Lee,Sheila,Texas,DEMOCRATIC,18
Jackson,Jeff,North Carolina,DEMOCRATIC,14
Jackson,Jonathan L.,Illinois,DEMOCRATIC,1
Jackson,Ronny,Texas,REPUBLICAN,13
Jacobs,Chris,New York,REPUBLICAN,27
Jacobs,Sara,California,DEMOCRATIC,51
James,John,Michigan,REPUBLICAN,10
Jayapal,Pramila,Washington,DEMOCRATIC,7
Jeffries,Hakeem S.,New York,DEMOCRATIC,8
Johnson,Bill,Ohio,REPUBLICAN,6
Johnson,Dusty,South Dakota,REPUBLICAN,At Large
Johnson,Eddie Bernice,Texas,DEMOCRATIC,30
Johnson,"Henry C. ""Hank,"" Jr.",Georgia,DEMOCRATIC,4
Johnson,Mike,Louisiana,REPUBLICAN,4
Johnson,Ron,Wisconsin,REPUBLICAN,
Jones,Mondaire,New York,DEMOCRATIC,17
Jordan,Jim,Ohio,REPUBLICAN,4
Joyce,David P.,Ohio,REPUBLICAN,14
Joyce,John,Pennsylvania,REPUBLICAN,13
Kahele,Kaiali'i,Hawaii,DEMOCRATIC,2
Kaine,Tim,Virginia,DEMOCRATIC,
Kamlager-Dove,Sydney,California,DEMOCRATIC,37
Kaptur,Marcy,Ohio,DEMOCRATIC,9
Katko,John,New York,REPUBLICAN,24
Kean,Thomas H.,New Jersey,REPUBLICAN,7
Keating,William R.,Massachusetts,DEMOCRATIC,9
Keller,Fred,Pennsylvania,REPUBLICAN,12
Kelly,Mark,Arizona,DEMOCRATIC,
Kelly,Mike,Pennsylvania,REPUBLICAN,16
Kelly,Robin L.,Illinois,DEMOCRATIC,2
Kelly,Trent,Mississippi,REPUBLICAN,1
Kennedy,John,Louisiana,REPUBLICAN,
Khanna,Ro,California,DEMOCRATIC,17
Kiggans,Jennifer A,Virginia,REPUBLICAN,2
