first_name,last_name,state,party,district,official_channel,campaign_channel
Correa,J. Luis,California,DEMOCRATIC,46,https://www.youtube.com/@mjmfoodie,https://www.youtube.com/@thecenterfororganizational6441
Cortez Masto,Catherine,Nevada,DEMOCRATIC,,https://www.youtube.com/@SenatorCortezMasto,https://www.youtube.com/@catherinecortezmasto1231
Costa,Jim,California,DEMOCRATIC,21,https://www.youtube.com/@RepJimCostaCA21,https://www.youtube.com/@jimcostaforcongress622
Cotton,Tom,Arkansas,REPUBLICAN,,https://www.youtube.com/@sentomcotton,https://www.youtube.com/@tomcotton
Courtney,Joe,Connecticut,DEMOCRATIC,2,https://www.youtube.com/@RepCourtneyCT2,https://www.youtube.com/@courtneyforcongress4945
Craig,Angie,Minnesota,DEMOCRATIC,2,https://www.youtube.com/@angiecraigforcongress747,https://www.youtube.com/@jeffettingerforcongress5734
Cramer,Kevin,North Dakota,REPUBLICAN,,https://www.youtube.com/@Senkevincramer,https://www.youtube.com/@kevincramer2012
Crane,Elijah,Arizona,REPUBLICAN,2,https://www.youtube.com/@funvids6472,https://www.youtube.com/@johnwaldman8108
Crapo,Mike,Idaho,REPUBLICAN,,https://www.youtube.com/@senatorcrapo,https://www.youtube.com/@SenateBankingGOP
Crawford,"Eric A. ""Rick""",Arkansas,REPUBLICAN,1,https://www.youtube.com/channel/UCBXXAiBsnetMro5yp05U36w,https://www.youtube.com/@TheBinder18
Crenshaw,Dan,Texas,REPUBLICAN,2,https://www.youtube.com/@dancrenshawforcongress1673,https://www.youtube.com/@RepDanCrenshaw
Crist,Charlie,Florida,DEMOCRATIC,13,https://www.youtube.com/@CharliecristforGov,https://www.youtube.com/@therealcharliecrist
Crockett,Jasmine,Texas,DEMOCRATIC,30,https://www.youtube.com/@JasmineForUS,https://www.youtube.com/@emmamcrae5341
Crow,Jason,Colorado,DEMOCRATIC,6,https://www.youtube.com/@jasoncrowforcongressco-6258,https://www.youtube.com/@rep.jasoncrow9550
Cruz,Ted,Texas,REPUBLICAN,,https://www.youtube.com/@SenTedCruz,https://www.youtube.com/@VerdictwithTedCruz
Cuellar,Henry,Texas,DEMOCRATIC,28,https://www.youtube.com/@henrycuellar,https://www.youtube.com/@texansforhenrycuellar1309
Curtis,John R.,Utah,REPUBLICAN,3,https://www.youtube.com/@curtisut,https://www.youtube.com/@RepJohnCurtis
Cárdenas,Tony,California,DEMOCRATIC,29,https://www.youtube.com/@GoCardenasTV,https://www.youtube.com/@repcardenas
D'Esposito,Anthony,New York,REPUBLICAN,4,https://www.youtube.com/@anthonydesposito3542,https://www.youtube.com/@TheMikeLiPetriShow
Daines,Steve,Montana,REPUBLICAN,,https://www.youtube.com/@SteveDainesMT,https://www.youtube.com/@westerncaucusfoundation6653
Davids,Sharice,Kansas,DEMOCRATIC,3,https://www.youtube.com/@shariceforcongress4171,https://www.youtube.com/@RepShariceDavids
Davidson,Warren,Ohio,REPUBLICAN,8,https://www.youtube.com/@warrendavidsonforcongress9716,https://www.youtube.com/@indivisibleoh8832
Davis,Danny K.,Illinois,DEMOCRATIC,7,https://www.youtube.com/@RepDannyKDavis,https://www.youtube.com/@dannykdavis7th426
Davis,Donald G.,North Carolina,DEMOCRATIC,1,https://www.youtube.com/@dondavisfornorthcarolina2443,https://www.youtube.com/@jonathanl.jacksonforcongre2064
Davis,Rodney,Illinois,REPUBLICAN,13,https://www.youtube.com/@RepRodneyDavis,https://www.youtube.com/@ElectRodney
